PinCode,MccCode,Pincode_Mcccode,RegionName
533309,226,533309226,VIJAYAWADA
523302,225,523302225,VIJAYAWADA
522647,225,522647225,VIJAYAWADA
534425,225,534425225,VIJAYAWADA
507164,224,507164224,VIJAYAWADA
534460,224,534460224,VIJAYAWADA
522647,223,522647223,VIJAYAWADA
533430,223,533430223,VIJAYAWADA
507164,223,507164223,VIJAYAWADA
523302,222,523302222,VIJAYAWADA
522659,221,522659221,VIJAYAWADA
507301,221,507301221,VIJAYAWADA
507164,220,507164220,VIJAYAWADA
534222,219,534222219,VIJAYAWADA
533305,219,533305219,VIJAYAWADA
507164,219,507164219,VIJAYAWADA
301407,1802,3014071802,RAI
522314,219,522314219,VIJAYAWADA
522659,218,522659218,VIJAYAWADA
534320,218,534320218,VIJAYAWADA
522256,218,522256218,VIJAYAWADA
521185,218,521185218,VIJAYAWADA
534176,218,534176218,VIJAYAWADA
507164,218,507164218,VIJAYAWADA
507301,218,507301218,VIJAYAWADA
534176,217,534176217,VIJAYAWADA
521213,217,521213217,VIJAYAWADA
507306,217,507306217,VIJAYAWADA
521213,216,521213216,VIJAYAWADA
534176,215,534176215,VIJAYAWADA
522659,214,522659214,VIJAYAWADA
530045,214,530045214,VIJAYAWADA
534176,214,534176214,VIJAYAWADA
507164,214,507164214,VIJAYAWADA
523302,213,523302213,VIJAYAWADA
533437,213,533437213,VIJAYAWADA
533431,213,533431213,VIJAYAWADA
533449,213,533449213,VIJAYAWADA
521214,213,521214213,VIJAYAWADA
522314,213,522314213,VIJAYAWADA
533450,212,533450212,VIJAYAWADA
533450,211,533450211,VIJAYAWADA
533445,211,533445211,VIJAYAWADA
533445,210,533445210,VIJAYAWADA
522314,210,522314210,VIJAYAWADA
533437,209,533437209,VIJAYAWADA
521185,209,521185209,VIJAYAWADA
533220,209,533220209,VIJAYAWADA
533305,208,533305208,VIJAYAWADA
534176,208,534176208,VIJAYAWADA
533449,208,533449208,VIJAYAWADA
507164,208,507164208,VIJAYAWADA
522314,208,522314208,VIJAYAWADA
533431,207,533431207,VIJAYAWADA
533260,207,533260207,VIJAYAWADA
533473,206,533473206,VIJAYAWADA
533260,206,533260206,VIJAYAWADA
522259,205,522259205,VIJAYAWADA
533462,205,533462205,VIJAYAWADA
533430,205,533430205,VIJAYAWADA
534101,204,534101204,VIJAYAWADA
507164,204,507164204,VIJAYAWADA
522268,203,522268203,VIJAYAWADA
500094,202,500094202,VIJAYAWADA
533430,202,533430202,VIJAYAWADA
